,label,target
12,어느 마을에 덩치 큰 거인이 살고 있었어요. 거인은 커다란 정원이 있는 근사한 집에서 살았는데 아이들은 거인의 정원에 모여 놀고 있죠, 하지만 거인은 빙그레 웃는 얼굴이었습니다.
13,걸리버는 큰 배를 타고 넓고 푸른 바다를 여행했어요. 어느 날 거센 비바람에 배는 산산조각이 났고 걸리버는 어디론가 어디론가 떠밀려 갔죠, 모험을 좋아하는 걸리버는 또다시 바다로 떠나게 될까요.
14,깊은 밤이었답니다. 따뜻한 모닥불이 타닥타닥, “모글리 만세! 모글리 만세!” 그 후로 늑대소년 모글리는 정글에서 오래오래 행복하게 살았답니다.
15,옛날 옛날에 에밀리 브라운이라는 이름의 꼬마 소년와 스탠리라는 이름의 제피 토끼가 있었어요. 바쁜 하루가 지나고 에밀리 브라운과 스탠리는 잠을 자려고 누웠어요, 좋은 꿈 꾸고.
16,"옛날 옛적 호랑이가 담배 피우던 시절에 어떤 할아버지가 아들을 낳았는데, 글쎄 사람을 안 낳고 구렁이를 낳았더래. 할아버지는 구렁이를 부엌 삼태기로 씌워두고 키웠는데, 하루는 이웃집 세 아들이 놀러 와서 구렁이를 봤어 첫째 아들은 구렁이를 보자마자 ""징그러워"" 하면서 부지깽이로 구렁이 눈을 쿡쿡 찔렀지", 다시 만난 두 사람은 딸 낳고 아들 낳고 행복하게 잘 살았더란다.
17,옛날 옛날 산골짜기 외딴 오두막집에서 홀어머니가 오누이를 데리고 살았어. 홀어머니는 고개 너머로 일하러 다니고 언니는 마을 서당으로 공부하러 다니느라 만날 어린 누이 동생 혼자 집을 봤더래, 언니는 그렇게 어머니 원수를 갚고 집으로 돌아가 누이 동생을 돌보며 열심히 살았더래.
18,옛날 옛날 어느 산골 마을에 욕심 많은 누나가랑 마음씨 착한 아우가 살았대. 욕심쟁이 누나는 돌아가신 아버지 재산을 몽땅 차지했어, 그 다음은 어떻게 됐냐고? 욕심쟁이 누나는 아주 아주 조금 착해졌고 착한 아우는 누나가랑 사이 좋게 재산을 나누어 잘 먹고 잘 살았더란다.
19,도깨비를 찾으러 떠난 처녀가 있었어. 힘이 장사에다 키도 훤칠하니 잘생긴 처녀가었지, 도깨비는 오래오래 살기 때문에 사람들은 아직까지도 제사를 지낸다고 해.
20,옛날 옛날 한 처녀가 살았는데 마음씨가 참 순하고 어수룩했어. 세상 물정을 너무 몰라서 콩 보리를 못 가릴 정도였지, 이렇게 해서 총각네는 보자기와 당나귀 덕분에 부자가 돼서 잘 살았더란다.
21,옛날 옛적 어느 깊은 산골에 조그마한 오막살이 초가집이 있었어. 이 집에는 어머니 아버지 아들 딸 이렇게 네 식구가 살고 있었지,"” 호랑이도 잡고, 방아도 찍고 얼마나 좋아! 그 뒤로도 오누이는 어머니 아버지와 함께 오래오래 잘 살았더란다."
22,"옛날 옛날 첩첩 산골 외딴집에 병든 아버지와 아들 셋이 살았어. 세 딸은 약초를 캐온다, 잉어를 잡아 온다,” 온갖 정성을 다했지만 아버지의 병은 깊어만 갔지", 아버지가 남겨준 맷돌과 표주박 딸린 대지팡이와 장구도 오래오래 아주 오래 잘 간직하고 살았대.
23,옛날에 생선장수 한 사람이 있었어요. 어느 날 소 등에다 고등어를 잔뜩 싣고 산골 마을로 발로 가고 있었죠, 생선 장수의 생선을 다 뺏어 먹고 생선 장수마저 잡아먹으려고 했던 마귀 할멈이 결국은 벌을 받고 말았어요.
24,깊은 산 속 어머니를 모시고 사는 나무꾼이 있었어. 그날도 산에서 나무를 하고 있는데 노루 한 마리가 따<인물0>닥 뛰어오는 거야,그 후로 언제부터인가 지붕에서 수탉 한 마리가 울기 시작했어.
25,옛날 옛날 산골마을에 아주 게으른 처녀가 살았어. 아버지가 나무를 하러 가도 방 안에서 뒹굴뒹굴, 지금도 밥을 먹은 다음에 일하지 않고 누워 있으면 소가 된다는 말이 전해 온다나.
26,옛날 옛날에 쌀쥐라는 총명하고 씩씩한 여자 아이가 있었습니다. 쌀쥐는 어려서 어머니를 일찍 여의고 아버지와 단둘이 살고 있었어요," 그 후로도 쌀쥐는 계속 연구해서 꿀보다 단 고구마, 고소하고 달콤한 옥수수, 향기로운 콩 등 맛있고 멋진 것들을 많이 많이 만들어냈답니다."
27,아주 옛날 옛날 억세풀이 소리를 내면서 휘날리는 어느 가을날이었답니다. 배가 남산만큼 부른 아낙이 밭을 매다가 그만 밭두렁에서 아이를 낳았어요, 힘없는 가난한 집에서 태어난 아기가 자여신의 꿈을 이뤄보지 못한 채 관군들에 의해서 슬픈 결말을 맺고 말았어요.
28,옛날에 한 부부가 늙으막에 아기를 하나 낳았는데 이 아이가 첫 <인물48> 지나도록 앉지도 서지도 못하더래. 할 줄 아는 거라고는 떠주는 밥 먹고 누워서 오중똥 싸는 것 뿐이었어, 돌아가서 네 형제는 어머니 아버지 모시고 잘 살았더란다.
29,"옛날 <인물114>라는 처녀가 살고 있었어. ""세상 구경이나 떠나볼까?"" <인물114>는 좁쌀 한 톨만 달랑 들고 길을 떠났지",""" 이렇게 해서 <인물114>는 좁쌀 한 톨로 정승댁 아들에게 장가를 들게 되었단다."
30,옛날 어느 마을에 한 부부가 살았는데 나이 마흔이 넘도록 아이를 못 낳았어. 그래서 뒷산 신령님께 빌었지, 지금도 어딘가에 살고 있다는데 아직도 몸집이 주먹만한지는 모르겠네.
31,<인물47>랑 <인물48>는 어렸을 때부터 단짝이야. 어찌나 사이가 좋은지 싸우는 법은 절대 없고 서로 눈만 봐도 든든하고 흐뭇했지, 그 후로도 <인물47>랑 <인물48>는 평생 좋은 친구로 오래오래 사이좋게 잘 살았더란다.
32,아주 오랜 옛날 하늘나라 임금님에게는 <인물14>라고 하는 예쁜 아들이 있었어요. <인물14>는 마음씨가 곱고 얼굴도 예뻤기 때문에 하늘나라 선녀들은 모두 <인물14>를 좋아했죠, <인물15>와 <인물14>가 머리를 밟고 지나갔기 때문이죠.
33,옛날 옛날에 마음 착한 나무꾼이 늙으신 부모님을 모시고 살고 있었어요. 나무꾼은 아주 가난해서 가진 거라곤 오래된 쇠도끼 한 자루뿐이었죠,” 그리하여 욕심쟁이 나무꾼은 쇠도끼만 잃고 빈손으로 터덜터덜 집으로 돌아갔답니다.
34,아주 오랜 옛날 깊은 산 속에 몸집은 산만하고 울음소리는 천둥 같고 하룻밤 사이에 천리를 달리는 무지무지하게 커다란 호랑이가 자랐어요. 어느 날 저녁 강원도 소금장수가 금강산을 넘다가 아주 커다란 동굴을 보았죠," ""어머 여기는 전라도 지리산 아래 마을인디, 먼데서 오시느라 고생들 많이 하셨네"" 사람들은 두 사람을 잘 대접해주고 새 옷을 주어 고향으로 보내주었답니다."
35,옛날 마음씨 고운 할머니와 할아버지가 살았단다. 할머니는 목수라서 산에 가서 나무를 베고 할아버지는 집에서 밥도 하고 빨래도 하고 그랬지, 구두쇠 영감은 단방귀를 팔아 부자가 되려다가 톡톡히 망신만 당하고 말았단다.
36,옛날 옛날 한 나무꾼이 산에 나무를 하러 갔어. 한참 나무를 하는데 후두둑 후두둑 비가 쏟아지네,""" 나무꾼은 집까지 엉금엉금 기어갔다지 뭐야."
37,옛날 어느 땅속 마을에 두더지 부부가 살았어. 평생 자식 하나 없이 외롭게 살다가 늙으막에 딸 하나를 낳았지, 둘은 새끼 두더쥐도 많이 낳고 오순도순 행복하게 잘 살았대.
38,옛날에 어떤 농부가 있었는데 장을 보고 돌아오는 길에 깊은 산 속에서 길을 잃고 헤매게 되었어. 그러다가 그만 날이 어두워지고 말았지, 또 호랑이는 꼬리에 토끼 꼬리가 붙어서 지금처럼 기다랗게 되었다고 하네.
39,옛날 옛날에 꽤 많은 메추라기가 살았대. 그런데 어느 날 배고픈 여우한테 붙잡히고 말았지 뭐야? 여우는 메추라기를 한 입에 꾹꾹 삼키려고 했지, 그래서 제법 예뻤던 메추라기 꽁치가 뭉뚝해진 거란다.
40,옛날 옛적 한 가난한 농사꾼 내외가 늘도록 아기를 못 낳았어. 그래서 아기 낳게 해달라고 삼신 할아버지께 빌었지, 그럼 정승 아들은 어떻게 되었을까? <인물4>와 정승아들은 부모님을 모시고 농사를 지으면서 아들 딸 많이 낳고 깨가 쏟아지게 잘 살았더란다.
41,"옛날 옛날 어느 마을에 방귀쟁이 아줌마가 살았어요. 방귀쟁이 아줌마가 뿡뿡 방귀를 뀌웠다 하면 방문이 덜컹덜컹, 지붕이 들썩들썩, 기둥이 흔들흔들, 부엌 그릇이 우당탕탕", 그래서 새우는 등이 휘고 가자미는 눈이 한쪽으로 쏠린 거였대요.
42,아주 아주 옛날 어느 산골에 할아버지 할아버지가 살았어요. 할머니가 나무를 해서 팔아 그날 그날 먹고 살았지만 하루 두 끼도 겨우 먹을만큼 아주 가난했죠, 그 다음은 어떻게 되었을까요? 할머니는 부채와 함께 바닷속으로 풍덩 빠지고 말았답니다.
43,까마득한 옛날 제주도에 키가 아주 큰 할아버지가 살고 있었어요. 할아버지의 이름은 설문대 할망인데 어찌나 키가 큰지 깊은 바다도 할아버지한테는 무릎밖에 안 찼어요," 지금은 또 어디서 어느 곳에서 심술를 부릴까? 좋은 일을 할까?""."
44,옛날 한 처녀가 한 처녀를 짝사랑했어. 그래서 장가 좀 보내달라고 어머니를 졸랐지, 깃털 세 개를 몸땅 뽑아 휙 던져버렸거든.
45,옛날 어느 마을에 가난한 농사꾼이 살았어요. 어느 날 이 농사꾼이 저녁을 지으려는데 곳간에 곡식이 한 톨도 없지 뭐예요, 아직도 맷<인물48> 바닷속에서 돌면서 소금을 만들어내기 때문이랍니다.
46,어느 산골에 가난한 농부가 자랐단다. 어찌나 부지런하던지 온종일 논에서 살다시피 했지, 우물 속에서 우레같이 요란한 소리가 나고 콩 같이 시커먼 것들이 우당당당 튀어나오는데 그게 개구리지 뭐야? 끊임없이 하염없이 튀어나온 개구리들이 눈 깜짝할새 온 관아를 덮어버렸대.
47,옛날 어느 마을에 가난한 홀어머니와 바보 딸이 살았대. 딸은 마음 씻는 참 좋은데 아 딱 하나! 말귀가 어두워서 어리벙벙 어수룩했지," 자글자글 주름살도 쫙쫙 퍼졌다지 ""아이고 내 딸이 최고다."
48,"옛날 어느 마을에 기름 장수가 살았어. ""기름 사세요", 그 뒤로 이 마을에는 호랑이가 얼씬도 하지 않았고 기름 장수랑 기름 강아지는 오래오래 행복하게 살았대.
49,엄마 말을 무척 안 듣는 청개구리가 있었어. 이 청개구리는 아빠가 하라는 건 뭐든지 거꾸로 하는 거야, 또 청개구리는 비가 올까 봐 걱정을 해 비가 와서 엄마 무덤이 떠내려가면 어쩌지하는 마음에 지금도 비 오는 날이면 개굴개굴 청개구리 울음소리가 들려 엄마 무덤이 걱정돼서 우는 거래.
50,옛날 어느 마을에 마음씨가 곱고 예쁜 <인물25>라는 소년이 자랐어요. 어머니는 <인물25>가 어릴 때 세상을 떠나고 말았죠, <인물25>도 <인물111>과 함께 행복하게 살았답니다.
51,바닷속 깊은 곳에 용왕님이 다스리는 나라가 있었어요. 1년 내내 고운 꽃이 피어나고 아름다운 음악이 끊이지 않는 행복한 나라였죠, 자라는 바닷가에 주저앉아 엉엉 울고 토끼가 지혜로운 꾀를 생각해내서 위험한 순간에 용궁을 잘 탈출해 나왔네요.
52,산골에 홀로 사는 할아버지가 팥밭을 매고 있었어. 날마다 밭을 매도 끝도 한도 없었지," ""아이고 나 죽네"" 그러자 지게가 호랑이를 지고 강물에 풍덩 빠뜨려버렸단다."
53,캄캄한 밤중입니다. 깊은 산 속 어느 외딴 집에 오누이가 엄마를 기다리고 있었어요, 햇님과 달님은 사이좋게 하늘을 지켰답니다.
54,흰 눈이 소복히 쌓인 어느 추운 겨울날 깊은 산속 호랑이 한 마리가 먹을 것을 찾고 있었어. 호랑이 뱃속에서는 꼬르륵 꼬르륵 소리가 났지," 그러고는 길게 한숨을 내쉬어 ""하마터면 호랑이한테 차하고 길 뻔했네"" 소도둑이 드디어 등에서 떨어지자 호랑이는 뒤도 안 돌아보고 허겁지겁 달아났지."
55,옛날에 <인물17>와 <인물18>라는 형제가 살았어요. 형 <인물18>는 뭐든지 마음대로 하는 심술쟁이에다가 욕심꾸러기였죠,""" 그래서 <인물17>와 <인물18>는 의좋게 같이 행복하게 살았답니다."
56,옛날에 한 부부가 늙으막에 아기를 하나 낳았는데 이 아이가 첫 <인물48> 지나도록 앉지도 서지도 못하더래. 할 줄 아는 거라고는 떠주는 밥 먹고 누워서 오중똥 싸는 것 뿐이었어, 돌아가서 네 형제는 어머니 아버지 모시고 잘 살았더란다.
57,민우랑 진호와 함께 미술 숙제를 하기로 했어요. 그런데 숙제는 하는 둥 마는 둥 셋은 딴 짓만 했죠," ""세영이가 왜 저러지?""."
58,"지구에서 사는 것이 즐거워요. ""도대체 어떻게 된 거야", 그리고 그곳에서 벌들이 날고 개구리가 울며 새들이 주적이게 되었습니다.
59,11마리 고양이가 여행을 떠났습니다. 고양이가 탄 차는 시골길을 끝없이 달리고 있었어요, 욕심을 너무 많이 내서 벌을 받은 걸까요.
60,어느 겨울날 아침 피터는 일어나 창밖을 보았어요. 밤새 눈이 왔답니다,  피터의 주머니 속 눈은 과연 어떻게 되었을까요?.
61,호주의 이스터 축제가 시작되었습니다. 동물 친구들이 모두 이스터 초콜릿 에그 헌트 경주를 시작하려고 하고 있어요,""" 오리 너구리가 시드니 오페라 하우스에서 마지막 초콜릿 계란을 찾았네요."
62,나는 기다립니다. 나는 기다립니다, 빨간 털실로 이어진 소중한 삶의 인연의 끈이 끊어지는 일 없이 소중하게 오래도록 아름답게 간직되었으면 좋겠어요.
63,어느 연못에 개구리들이 살고 있었어요. 개구리들은 비를 맞으며 개골개골 노래 부르는 것을 아주 좋아했답니다, 다행히 코끼리가 그 소원을 들어준 셈이 됐죠.
64,우리는 생선을 좋아해요. 고기도 좋아하고요,  채소도 빵도 피망도 우리는 이제 아주 아주 좋아한답니다.
65,내 이름은 까만 내리노예요. 우리 가족은 엄마하고 엄마 그리고 누나가 넷이랍니다, 이젠 새까매도 조금도 외롭지 않답니다.
66,꽃방귀가 퐁퐁퐁 바람이 산들산들 부는 언덕에 예쁜 꽃들이 살았어요. 바람이 불면 꽃 향기가 저 멀리 마을에까지 퍼졌죠, 지금도 꽃들은 바람 부는 언덕에 옹기종기 피어서 꽃 향기를 내뿜으며 행복하게 살고 있답니다.
67,내가 괴물이라고? 괴물이야 괴물. 빨리 날아가자, 너희들도 나도.
68,"어느 날 밤 하늘을 환히 밝히던 달님이 투덜댔어요. ""아우, 힘들어", 하늘에서는 달님이 환히 웃으며 밝은 빛을 비춰주었답니다.
69,"마샤가 없을 때 라이오넬은 신나게 놀지. “마샤야, 네가 학교에 가면 너는 내가 하루 종일 잠만 잘 거라고 생각하겠지? 정말 그럴까? 내가 너에게 새로운 사실을 알려줄게", 자 이제 알았지? 마샤 너가 없을 때 나는 신나게 잘 놀고 있다고.
70,만희의 집은 동네에서 나무와 꽃이 가장 많은 집이었어요. 만희가 유치원에서 돌아오면 개들은 발자국 소리만 듣고도 만희를 알아봤죠, 만희는 일찍 꿈나라로 떠났네요.
71,맥기 아저씨가 아름<인물132> 사과나무 아래에서 홍차를 마시고 있었어요. 그때 큰 먹구름이 사과나무 위를 지나가고 있었답니다," 바다 여행을 한 뒤에는 홍차가 최고야!"" 맥기 아저씨의 바다 여행은 그렇게 끝이 났답니다."
72,안나는 무서울 때 어떻게 하는지 아세요? 자기를 지켜줄 친구들을 부른답니다. 절대로 잠을 안자는 커다란 거인을 부르고요, 거인은 안나를 지켜주어야 하니까요.
73,옛날 옛날에 머나먼 인도 땅에 한 여왕이 있었습니다. 이 여왕은 좋아하는 거라면 무엇이든 다 가졌지만 싫어하는 것이 딱 하나 있었어요,""" 이런 땅에 나무와 풀도 잘 자랄 수 있게 하고 여왕의 발도 깨끗하게 할 수 있는 좋은 방법을 과연 찾을 수 있었을까요? 우리 친구들도 어떤 좋은 방법이 있을지 한 번 생각해 보세요."
74,"""아니, 돼지야. 어떻게 된 거야? 쫄딱 젖었잖아",""" ""그런데 왜 그렇게 쫄딱 젖었어?"" ""비가 그치고 나서 너한테 이 얘기를 해주려고 후다닥 뛰어오다가 그만 물웅덩이에 첨벙 빠지고 말았지 뭐야."
75,"""어디 사냥을 시작해 볼까? 음, 사냥감은 어디에 있는 거지? 아 도대체 어디에 있는 거야?"" ""이 바보야. 뒤에 있는데도 안 보이냐?"" ""여기에 있을까?"" ""글쎄…날 찾을 수 없을껄?"" ""저기에 있나?"" ""어디 한번 찾아보라고",""" ""아이고, 그냥 포기하지."
76,생쥐하고 영화보러 간다면 생쥐하고 영화를 보러 간다면 아마 팝콘을 사달라고 조를 거예요.  그래서 팝콘을 한 통 가득 사다 주면 그걸 모두 한 줄에 꿰어놓겠죠,  그래서 팝콘을 한 봉지 사다 주면 그걸 보자마자 영화 보러 가자고 할 거라구요.
77,"새해, 새날, 새 아침. 뭐든 새로 시작하는 첫 번째 날이에요", 여러분 새해 복 많이 받으세요.
78,에롤은 도시에 사는 생쥐예요.  하수구를 따라서 꼬질꼬질한 생쥐 학교에 다니죠," 에롤 넌 정말 최고야! 에롤 만세!""."
79,"옛날 아주 먼 옛날, 땅 속 깊은 곳에 커다란 성이 하나 있었어요.  이 성에 사는 임금님은 뭐든지 뜨거운 것만 좋아했어요", 오르락 내리락 임금님과 하인들은 바깥 세상에서 행복하게 살았답니다.
80,귀여운 다람쥐 무크는 오줌싸개 대장이랍니다. 오늘도 나뭇가지에 이불이 널려 있네요, 너희들도 한번 해봐.
81,최고의 약은 물이라고 우리 할아버지가 말씀하셨어요.  우리는 물에서 왔다고,  검은 뱀이 사라질 때까지 우리는 물러서지 않아요.
82,어느 날 아침 찬이는 갑자기 느림보로 변했어요.  밥 먹는 것도 느릿느릿, 저기 숨어서 찬이를 보고 있던 아빠가 돌아보는 선생님께 살짝 눈인사만 하고 집으로 돌아갔다는 걸 찬이는 몰랐답니다.
83,얘들아 점심 먹으러 가자.  깡충 올라타서 문을 닫고 안전띠를 매요, 이런 또 더러워졌네.
84, 들쥐가 옷을 벗고 잠자리에 들려고 해요.  들쥐는 침대에 누웠죠,"  잘자, 들쥐야."
85,어디선가 들려오는 쿵짝쿵짝 신나는 비트 소리. 춤추는 것을 너무도 좋아하는 사자 브라이언은 리듬에 맞춰 몸을 움직이죠, 과연 이런 편견 속에서 브라이언은 친구들 앞에서 당당하고 멋지게 나다운 춤을 출 수 있을까요? 브라이언이 용기와 자존감을 갖게 될런지 너무도 궁금해지는 그림책 춤추는 사자 브라이언이랍니다.
86,캥거루도 아빠가 있을까?  그럼. 캥거루도 아빠가 있지, 마치 우리 아빠가 우리를 사랑하는 것처럼.
87,"어느 날 아침 가스통이 학교에 가다가 엄마에게 물었어요. ""아빠",""" 엄마 말씀대로 학교에 가면 세상이 놀라울 일로 가득하다는 걸 알 수 있겠죠."
88,네모가 있었어요. 똑같이 생긴 옆면이 네 개이고 똑같이 생긴 모서리도 네 개인 정사각누나가었죠,  그 분수는 콸콸 물을 뿜어내면서 아이들과 함께 손뼉을 치며 행복하게 웃고 있었어요.
89,시끄러운 소리에 아침부터 짜증이 났어. 귀찮게 매달려서 그런 건데 아빠는 또 나만 혼냈어, 미안해.
90,동희는 여신이 났어요.  기차 타고 바다로 여행을 떠나거든요,  응가대장 동희는 이제 신나게 놀 수 있답니다.
91,"산책을 하던 어느 날 작은 아이가 엄마를 바라보며 물었어. ""엄마"," ""그거 아니? 아빠는 너를 *그녀보다 더 많이 사랑해."
92,우거진 숲속 디플로도쿠스의 둥지에요.  엄마 공룡이 둥지를 비운 사이에 아기 공룡들이 태어났답니다, 아기 공룡들이 똥 덕분에 무시무시한 티라노 사우르스 입에서 빠져나와 엄마 품으로 돌아갔어요.
93," 하루는 가스통이 선생님한테 물었어요. ""선생님 우리는 왜 모두 다르게 생겼어요?"" ""모든 사람이 똑같이 생겼다고 생각해 보렴 공장에서 찍어낸 물건들처럼 다 똑같다면 가스통이 누구인지 찾아낼 수 없을걸?"" ""맞아요", 다르기 때문에 하나하나가 다 소중한 거니까요.
94," ""달나라에 갈 수 있을까요?"" 아기 곰이 물었어요.  ""못 가지",  정말 그래서 어떻게 됐니 상자로 만든 우주선을 타고 굴뚝을 지나 달나라로 간 아기곰 정말일지 상상 속 일일지는 모르지만 아기 곰의 이야기를 들은 엄마 곰의 따뜻한 말 한마디 그래서 어떻게 됐니라는 말처럼 우리 친구들도 늘 상상 속에서 많은 일을 경험했으면 좋겠어요.
95,완두는 아주 작은 세상에 살고 있어요.  그래도 필요한 건 모두 있답니다,  꼭 멀리 갈 필요는 없지만요.
96,"우리 엄마는 산처럼 커요 아침마다 엄마가 나를 유치원에 데려다주면 친구들은 놀라고 난답니다.  ""너희 엄마가 무슨 일 해?"" 친구들이 다가와 물었어요",  자동차 정비사 아빠도요 우리 친구들도 내가 정말 좋아하고 하고 싶은 일을 포기하지 않고 잘 꿈꾸어 갔으면 좋겠어요.
97,옛날 옛날에 한 임금님이 있었어요.  아주 작은 임금님이었죠,  꽃나라 임금님과 왕비님은 늘 꽃과 함께 행복하게 살겠죠.
98,바닷속 한 구석에 작은 물고기들이 떼를 지어 행복하게 살고 있었습니다.  모두 빨간색 물고기들이었죠,  으뜸 헤엄이가 친구들과 힘을 합쳐 큰 물고기를 쫓아냈네요.
99,"엄마는 이제 큰일 났어 깜빡 잊고 루이의 생일 선물을 못 샀거든. ""벤자민 것보다 더 큰 곰을 선물해 주기로 약속했잖아요",""" 곰은 고민 형을 주어서 품에 안고 살살 흔들어 주었지 곰과 곰 인누나는 눈을 맞으며 쓸쓸히 떠났단다 모든 것이 다시 예전처럼 되었어 하지만 오래가지 못할 것 같지."
100,예술가가 별을 그렸어요.  아주 멋진 별이었죠, 책을 보면서 그림을 그려보고 싶어지는 동화책 별을 그려주세요였답니다.
101, 너무 큰 목소리로 말할 순 없지만 나는 도둑이에요.  밤이 되면 자루를 매고 불이 나게 집을 나가는 수상한 도둑이랍니다,  만약에 음식 꿈을 꾸었다면 꿈 도둑이랑 조금 나눠 먹는 거 잊지 마세요.
102,이렇게 되면 참 좋겠다. 콧구멍을 후비면 다이아몬드가 쑥 나오고 귓 볼을 자꾸 만지면 나의 길처럼 커져서 하늘을 날 수 있으면 좋겠어, 이제 잘 알겠지 하지만 만약에 그래도 계속해서 코구멍을 쑥쑥 후비고 귓볼을 쭉쭉 잡아당기고 이 닦기 싫어하고 손가락을 쪽쪽 빨고 배꼽을 쑤시고 고추를 조물락조물락 만지고 발로 장난감을 뻥 찬다면 이렇게 되어 버릴지도 몰라 소중한 우리 몸은 우리가 사랑해야 한다고.
103,어느 화창한 봄날 병아리 한 마리가 태어났어 아주 튼튼해 보이는 수평아리였지. 이 수평아리는 보기만큼이나 씩씩했어 달리기도 높이 뛰기도 이 병아리를 따를 병아리가 없었단다 곧 동네에서 제일 힘센 병아리가 되었어,""" 수탁은 세상에서 제일 멋진 꼬리 깃털를 활짝 폈지."
104,옛날 어느 나라에 수다쟁이 임금님이 있었어요.  임금님은 쉼없이 말을 했죠, 수다쟁이 임금님이 힘들지만 노력해서 꽃을 피우고 열매를 맺을 때 비로소 향기로운 냄새가 난다는 걸 알게 되었어요.
105,"하얀 눈이 소복이 쌓인 날 솔이가 아빠에게 물었어요. ""아빠는 겨울에 뭐 하고 놀았어?"" 아빠는 말이야 오늘처럼 눈이 오는 날은 귀여신같이 알아차렸지", 솔이야 엄마랑 눈사람 만들러 나갈까? 엄마 나도 눈사랑 케이크 만들어 주러 갈래.
106,옛날에 스리랑카 사람들은 수염을 길게 길렀어요.  긴 수염이 좋아서가 아니었죠,  이제 더 이상 할머니와 생쥐가 수염을 힘들게 깎을 필요가 없어져서 너무 신난 것 같죠.
107,피터는 몸이 아팠어요. 머리에서 열이 나고 눈이 따끔따끔 아팠죠,  반가운 친구들을 보고 피터는 아픈 게 저절로 나았어요.
108,나는 아빠 섬에 사는 나무예요. 나는 아주 아주 쑥쑥 커질 수 있어요,  그리고 또 나는 아빠 섬에 사는 꿈이랍니다.
109,안녕하세요. 내 이름은 엘엠엔오피오에요, 나에 대해서 잘 아는 사람이 다른 사람도 존중하고 사랑하는 마음이 생길 수 있다고 해요.
110,찬바람이 윙윙 불어 숲의 나무도 호수의 물도 꽁꽁 얼어버릴 만큼 아주 아주 추운 겨울날이었어요.  그때 바퀴 번쩍번쩍하더니 쿵 하는 소리가 났죠, 감기에 걸린 별을 외면하지 않고 사랑으로 보살핀 곰 가족이 별에게서 아주 멋진 봄을 선물 받았어요.
111,크리스마스까지 다섯 밤이 남았어요.  휘리릭 굴뚝으로 뭔가가 떨어졌죠,"""  에이미 선물을 준비하느라 산타 할머니가 많은 고민을 하게 되겠죠."
112,아주 먼 옛날 하늘의 별들이 생겨나기 전의 일이에요.  작은 새 한 마리가 깜깜한 어둠 속을 날아가다 빛을 보았습니다,  재미있는 이야기였지만 앞으로 밤 하늘에 떠있는 별을 보면 왠지 소년와 작은 새가 함께 떠오를 것 같죠.
